ID,Shape,Size,Color,Clarity,Measurements,Ratio,Lab,Depth,Table,Culet,Girdle,Fluo,Cut,Pol,Sym,Rap Disc,Price,Total Price,Rap,Report PDF,Photo,Comments,Video
5222829,Princess,8.27,E,VS1,11.49x11.41x7.97,1.01,GIA,69.8,72,None,MED,F,,EX,EX,-29.67,"30,937.73","255,854.99","52,500.00",,https://d360.tech/imaged/79-GO-5222829/still.jpg,,https://d360.tech/view.html?d=79-GO-5222829
5231906,Radiant,8.02,F,VS2,14.8x9.29x6.52,1.59,GIA,70.2,75,None,VTK - ETK,F,,EX,VG,3.49,"43,875.91","351,884.79","43,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=5231783549,https://d360.tech/imaged/81-WX-5231906/still.jpg,,https://d360.tech/view.html?d=81-WX-5231906
5207633,Cushion,6.06,H,VVS1,10.99x10.08x6.78,1.09,GIA,67.3,69,None,STK - THK,ST,,EX,EX,-46.43,"14,299.29","86,653.67","38,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2235364614,https://d360.tech/imaged/79-FM-5207633/still.jpg,,https://d360.tech/view.html?d=79-FM-5207633
5222261,Emerald,6.02,D,VVS1,13.7x8.16x5.37,1.68,GIA,65.8,65,None,THK,N,,EX,EX,-21.3,"44,329.35","266,862.69","63,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2235065504,https://d360.tech/imaged/81-UQ-5222261/still.jpg,,https://d360.tech/view.html?d=81-UQ-5222261
5222415,Emerald,6.01,K,VVS2,13.26x8.19x5.33,1.62,GIA,65.1,67,None,STK,N,,EX,EX,-16.71,"13,260.98","79,698.46","17,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=5231561256,https://d360.tech/imaged/81-UR-5222415/still.jpg,,https://d360.tech/view.html?d=81-UR-5222415
5212745,Round,5.68,E,VS2,11.27x11.33x7.09,,HRD,62.6,57,None,MED,N,EX,EX,EX,-40.58,"23,267.92","132,161.78","52,000.00",,https://d360.tech/imaged/79-FU-5212630/still.jpg,,https://d360.tech/view.html?d=79-FU-5212630
5212630,Round,5.68,G,SI1,11.27x11.34x7.09,,GIA,62.7,57,None,MED - STK,F,EX,EX,EX,-19.06,"23,271.04","132,179.50","32,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2231078794,https://d360.tech/imaged/79-FU-5212630/still.jpg,,https://d360.tech/view.html?d=79-FU-5212630
5217665,Round,5.29,J,VS1,11.23x11.27x6.8,,GIA,60.5,60,None,MED - STK,M,EX,EX,EX,-22.27,"15,080.78","79,777.32","22,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=7516434327,https://d360.tech/imaged/79-GE-5217665/still.jpg,,https://d360.tech/view.html?d=79-GE-5217665
5231798,Emerald,5.22,D,VVS2,12.91x8.32x5.05,1.55,GIA,60.7,65,None,STK,F,,EX,EX,-29.08,"35,817.60","186,967.87","60,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=5232527864,https://d360.tech/imaged/79-GT-5231798/still.jpg,,https://d360.tech/view.html?d=79-GT-5231798
5226765,Radiant,5.22,J,VS1,11.46x8.82x5.99,1.3,GIA,67.9,67,None,THK - VTK,N,,EX,EX,-19.5,"14,430.00","75,324.60","20,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2527543118,https://d360.tech/imaged/81-VR-5226765/still.jpg,,https://d360.tech/view.html?d=81-VR-5226765
5232830,Cushion,5.2,I,VVS2,11.78x9.06x6.14,1.3,GIA,67.8,66,None,STK - VTK,F,,EX,VG,-19.18,"19,955.65","103,769.38","27,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=6522785559,https://d360.tech/imaged/79-GW-5232830/still.jpg,,https://d360.tech/view.html?d=79-GW-5232830
5208937,Cushion,5.1,J,SI1,11.81x9.03x6.19,1.31,GIA,68.5,65,None,MED - THK,N,,EX,EX,-22.43,"11,959.68","60,994.35","17,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=5506480685,https://d360.tech/imaged/81-SF-5208937/still.jpg,,https://d360.tech/view.html?d=81-SF-5208937
5226767,Radiant,5.06,D,VS2,11.86x8.7x5.85,1.36,GIA,67.3,66,None,STK - THK,N,,EX,EX,-23.78,"32,627.14","165,093.33","49,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=6502884977,https://d360.tech/imaged/81-VS-5226767/still.jpg,,https://d360.tech/view.html?d=81-VS-5226767
5229632,Emerald,5.04,J,VS1,12.23x8.13x5.57,1.5,GIA,68.6,63,None,THN - MED,N,,EX,EX,-12.5,"16,250.00","81,900.00","20,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2526992273,https://d360.tech/imaged/81-WH-5229632/still.jpg,,https://d360.tech/view.html?d=81-WH-5229632
5220227,Radiant,5.03,D,VS2,13.04x8.06x5.48,1.62,GIA,67.9,64,None,THK - VTK,N,,EX,VG,-21.12,"34,321.56","172,637.45","49,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=1232429355,https://d360.tech/imaged/81-UG-5220227/still.jpg,,https://d360.tech/view.html?d=81-UG-5220227
5222413,Radiant,5.03,H,VS1,11.75x8.74x5.66,1.34,GIA,64.7,68,None,THK,N,,EX,VG,-22.16,"23,011.82","115,749.45","33,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2235472224,https://d360.tech/imaged/81-UR-5222413/still.jpg,,https://d360.tech/view.html?d=81-UR-5222413
5225204,Emerald,5.03,J,VS2,12.16x7.79x5.35,1.56,GIA,68.6,67,None,MED - STK,N,,EX,EX,-13.92,"14,689.74","73,889.39","18,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=7511537341,https://d360.tech/imaged/81-VI-5225204/still.jpg,,https://d360.tech/view.html?d=81-VI-5225204
5217254,Emerald,5.02,D,VS2,12.21x7.7x5.3,1.59,GIA,68.8,66,None,THK - VTK,N,,EX,EX,-22.76,"33,276.88","167,049.94","49,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=2231516310,https://d360.tech/imaged/81-TW-5217254/still.jpg,,https://d360.tech/view.html?d=81-TW-5217254
5226113,Cushion,5.02,D,VS2,11.96x9.19x5.54,1.3,GIA,60.3,67,None,ETN - VTK,N,,EX,VG,-28.27,"29,767.01","149,430.39","49,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=1232512576,https://d360.tech/imaged/81-VN-5226113/still.jpg,,https://d360.tech/view.html?d=81-VN-5226113
5217867,Emerald,5.02,F,VS1,11.82x8.11x5.42,1.46,GIA,66.8,63,None,STK - THK,F,,EX,EX,-29.64,"28,599.48","143,569.39","48,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=6237485134,https://d360.tech/imaged/81-TX-5217867/still.jpg,,https://d360.tech/view.html?d=81-TX-5217867
5227316,Oval,5.02,F,VS1,15.03x9.31x5.34,1.61,GIA,57.4,62,None,STK - VTK,N,,EX,EX,-20.57,"34,318.12","172,276.94","48,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=5506662896,https://d360.tech/imaged/81-VW-5227316/still.jpg,,https://d360.tech/view.html?d=81-VW-5227316
5217856,Emerald,5.02,G,VS2,11.73x8x5.35,1.47,GIA,66.8,67,None,THK,N,,EX,VG,-23.77,"24,308.64","122,029.35","36,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=1236524334,https://d360.tech/imaged/81-TX-5217856/still.jpg,,https://d360.tech/view.html?d=81-TX-5217856
5229631,Emerald,5.02,J,VVS2,12.39x8x5.4,1.55,GIA,67.6,66,None,THN - MED,N,,EX,EX,-15,"16,770.00","84,185.40","21,500.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=6237698010,https://d360.tech/imaged/81-WH-5229631/still.jpg,,https://d360.tech/view.html?d=81-WH-5229631
5222654,Emerald,5.01,D,VS1,11.38x8.13x5.42,1.4,GIA,66.7,68,None,STK - THK,ST,,EX,EX,-45.7,"21,711.30","108,773.61","57,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=6515884823,https://d360.tech/imaged/81-UT-5222654/still.jpg,,https://d360.tech/view.html?d=81-UT-5222654
5226770,Cushion,5.01,D,VS2,12.42x8.67x5.86,1.43,GIA,67.6,64,None,STK - VTK,F,,EX,EX,-26.12,"31,136.56","155,994.16","49,000.00",http://viewer.feedcenter.net/FantasyFeederFiles.aspx?VendorID=JJ1&DocType=Cert&ID=7498105933,https://d360.tech/imaged/81-VS-5226770/still.jpg,,https://d360.tech/view.html?d=81-VS-5226770
